"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","347","should hide other controls when editing","chromium","Fri Jan 03 10:11:39 GMT 2025","passed","Fri Jan 03 10:11:39 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","532","should be hidden when there are no items that are completed","firefox","Fri Jan 03 10:11:56 GMT 2025","passed","Fri Jan 03 10:11:56 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","390","should remove completed items when clicked","chromium","Fri Jan 03 10:11:41 GMT 2025","passed","Fri Jan 03 10:11:42 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","346","should cancel edits on escape","chromium","Fri Jan 03 10:11:40 GMT 2025","passed","Fri Jan 03 10:11:41 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","315","should append new items to the bottom of the list","chromium","Fri Jan 03 10:11:36 GMT 2025","passed","Fri Jan 03 10:11:36 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","793","should remove completed items when clicked","webkit","Fri Jan 03 10:12:16 GMT 2025","passed","Fri Jan 03 10:12:17 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","356","should remove the item if an empty text string was entered","chromium","Fri Jan 03 10:11:40 GMT 2025","passed","Fri Jan 03 10:11:40 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","465","complete all checkbox should update state when items are completed / cleared","chromium","Fri Jan 03 10:11:37 GMT 2025","passed","Fri Jan 03 10:11:38 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","381","should trim entered text","chromium","Fri Jan 03 10:11:39 GMT 2025","passed","Fri Jan 03 10:11:40 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","369","should allow me to edit an item","chromium","Fri Jan 03 10:11:38 GMT 2025","passed","Fri Jan 03 10:11:39 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","645","complete all checkbox should update state when items are completed / cleared","firefox","Fri Jan 03 10:11:49 GMT 2025","passed","Fri Jan 03 10:11:50 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","458","should append new items to the bottom of the list","firefox","Fri Jan 03 10:11:48 GMT 2025","passed","Fri Jan 03 10:11:48 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","758","should remove the item if an empty text string was entered","webkit","Fri Jan 03 10:12:13 GMT 2025","passed","Fri Jan 03 10:12:14 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","740","should allow me to display completed items","firefox","Fri Jan 03 10:11:59 GMT 2025","passed","Fri Jan 03 10:12:00 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","360","should save edits on blur","chromium","Fri Jan 03 10:11:39 GMT 2025","passed","Fri Jan 03 10:11:39 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","749","should cancel edits on escape","webkit","Fri Jan 03 10:12:14 GMT 2025","passed","Fri Jan 03 10:12:15 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","390","should allow me to mark items as complete","chromium","Fri Jan 03 10:11:38 GMT 2025","passed","Fri Jan 03 10:11:38 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","753","should highlight the currently applied filter","webkit","Fri Jan 03 10:12:22 GMT 2025","passed","Fri Jan 03 10:12:23 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","141","Should log password","preconditions","Fri Jan 03 10:11:34 GMT 2025","passed","Fri Jan 03 10:11:35 GMT 2025","","setup/preconditions.ts","",""
"","815","should allow me to display active items","webkit","Fri Jan 03 10:12:19 GMT 2025","passed","Fri Jan 03 10:12:19 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","585","should allow me to display active items","firefox","Fri Jan 03 10:11:57 GMT 2025","passed","Fri Jan 03 10:11:58 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","723","should display the correct text","webkit","Fri Jan 03 10:12:16 GMT 2025","passed","Fri Jan 03 10:12:16 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","1459","should allow me to add todo items","webkit","Fri Jan 03 10:12:03 GMT 2025","passed","Fri Jan 03 10:12:04 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","651","should display the current number of todo items","webkit","Fri Jan 03 10:12:15 GMT 2025","passed","Fri Jan 03 10:12:16 GMT 2025","Counter","demo-todo-app.spec.ts","",""
"","686","should allow me to display all items","firefox","Fri Jan 03 10:12:00 GMT 2025","passed","Fri Jan 03 10:12:00 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","826","should allow me to mark all items as completed","webkit","Fri Jan 03 10:12:06 GMT 2025","passed","Fri Jan 03 10:12:07 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","1217","get started link","webkit","Fri Jan 03 10:12:24 GMT 2025","passed","Fri Jan 03 10:12:25 GMT 2025","","example.spec.ts","",""
"","354","should display the correct text","chromium","Fri Jan 03 10:11:41 GMT 2025","passed","Fri Jan 03 10:11:41 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","623","should trim entered text","firefox","Fri Jan 03 10:11:53 GMT 2025","passed","Fri Jan 03 10:11:53 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","461","should respect the back button","chromium","Fri Jan 03 10:11:43 GMT 2025","passed","Fri Jan 03 10:11:43 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","749","should hide other controls when editing","webkit","Fri Jan 03 10:12:11 GMT 2025","passed","Fri Jan 03 10:12:12 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","880","should allow me to display all items","webkit","Fri Jan 03 10:12:21 GMT 2025","passed","Fri Jan 03 10:12:22 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","526","should allow me to mark items as complete","firefox","Fri Jan 03 10:11:50 GMT 2025","passed","Fri Jan 03 10:11:51 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","545","should allow me to un-mark items as complete","firefox","Fri Jan 03 10:11:51 GMT 2025","passed","Fri Jan 03 10:11:51 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","787","should save edits on blur","webkit","Fri Jan 03 10:12:12 GMT 2025","passed","Fri Jan 03 10:12:13 GMT 2025","Editing","demo-todo-app.spec.ts","",""
"","389","should clear text input field when an item is added","firefox","Fri Jan 03 10:11:47 GMT 2025","passed","Fri Jan 03 10:11:48 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","559","should highlight the currently applied filter","firefox","Fri Jan 03 10:12:00 GMT 2025","passed","Fri Jan 03 10:12:01 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","776","should allow me to edit an item","webkit","Fri Jan 03 10:12:10 GMT 2025","passed","Fri Jan 03 10:12:11 GMT 2025","Item","demo-todo-app.spec.ts","",""
"","395","should allow me to display completed items","chromium","Fri Jan 03 10:11:43 GMT 2025","passed","Fri Jan 03 10:11:44 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","442","should allow me to display all items","chromium","Fri Jan 03 10:11:44 GMT 2025","passed","Fri Jan 03 10:11:44 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","357","should be hidden when there are no items that are completed","chromium","Fri Jan 03 10:11:42 GMT 2025","passed","Fri Jan 03 10:11:42 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","358","should highlight the currently applied filter","chromium","Fri Jan 03 10:11:44 GMT 2025","passed","Fri Jan 03 10:11:44 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","575","should clear text input field when an item is added","webkit","Fri Jan 03 10:12:05 GMT 2025","passed","Fri Jan 03 10:12:05 GMT 2025","New Todo","demo-todo-app.spec.ts","",""
"","950","should respect the back button","webkit","Fri Jan 03 10:12:19 GMT 2025","passed","Fri Jan 03 10:12:20 GMT 2025","Routing","demo-todo-app.spec.ts","",""
"","885","complete all checkbox should update state when items are completed / cleared","webkit","Fri Jan 03 10:12:08 GMT 2025","passed","Fri Jan 03 10:12:09 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","361","should allow me to mark all items as completed","chromium","Fri Jan 03 10:11:36 GMT 2025","passed","Fri Jan 03 10:11:37 GMT 2025","Mark all as completed","demo-todo-app.spec.ts","",""
"","556","should remove completed items when clicked","firefox","Fri Jan 03 10:11:55 GMT 2025","passed","Fri Jan 03 10:11:56 GMT 2025","Clear completed button","demo-todo-app.spec.ts","",""
"","514","should cancel edits on escape","firefox","Fri Jan 03 10:11:54 GMT 2025","passed","Fri Jan 03 10:11:54 GMT 2025","Editing","demo-todo-app.spec.ts","",""
